Image (front),Image (back),Make,Model,Compatible Formats,Compatible Sizes,Non-compatible Formats,Standard,Operation Manual,Service Manual,Cable/Input,Possible Adapter Needed,Known Issues/Unique Characteristics,
,,Panasonic ,AJ-D440,DV; DVCAM; DVCPro; DVCPro50,medium; large,MiniDV,NTSC,https://drive.google.com/file/d/1-Rw0ZD3nGAmlOjtO5r4LJsicEtr6a-Ya/view?usp=sharing,,,,,
,,Panasonic,AJ-D455,DV; DVCAM; DVCPro; DVCPro50,medium; large,MiniDV,NTSC,https://drive.google.com/file/d/1SMqZ9byCKxYWmAntLz51xfc4Yw5iaXp_/view?usp=sharing,,,,,
,,JVC ,BR-DV6000U,DVCAM; DV; MiniDV,all sizes,HDV or DVCPro,NTSC/PAL,https://drive.google.com/file/d/1WHUPZllSSey4_JpthZznFUGdRWFoWEa4/view?usp=sharing,,IEEE-1394 hi-speed Firewire cable with 9-pin male to 4-pin male connectors supports data transmission rates up to 800Mbps (9pin/4pin M/M),,,
,,Sony ,DSR-1500A,DV; MiniDV; DVCAM; DVCPro,all sizes,HDV ,NTSC,https://drive.google.com/file/d/1nXwG5qYRxtWYIDFPjOfrvjR5qrIkbItM/view?usp=sharing,https://drive.google.com/file/d/1Wa-OX_OLy_NwtHbYwWj9UMLTaraT1pxA/view?usp=sharing,6 pin FireWire (M) to FireWire 800 (M),,"To ensure compatibility with DVRescue, avfctl, and vrecord, make sure that Video input is set to iLink vs. 9-pin (in Setp-up Menu/Video Output) and that the Video output on the main display is set to ""SG"" vs. ""iLink"") [INSERT IMAGES AND LINK TO INSTRUCTIONS FROM MANUAL]; [DESCRIBE AUDIO ISSUE]","Built-into the DSR-1500A VTR is the i.LINK interface, which is based upon the IEEE1394 (DV, Firewire) standard. The i.LINK enables a single cable to simultaneously carry digital video and audio signals, as well as data and control signals with virtually no quality degradation. This simple connection offers an ideal solution for connecting the DSR-1500A with i.LINK interface equipped compatible nonlinear editing systems and other computer-related products."
,,Sony ,DSR-1800,DVCAM; MiniDV; DVPro; DV ,all sizes,HDV,NTSC/PAL,https://drive.google.com/file/d/1GNyF9PrF-8dRdytK4FvXDCpV4uXRL_8N/view?usp=sharing,https://drive.google.com/file/d/1pE-XoqvMRxnOrdN2NzEbzoV4y3h9W1pH/view?usp=sharing,,,,
,,Sony ,DSR-2000/ DSR-2000P,DV; DVCAM; MiniDV,,HDV or DVCPro,NTSC,https://drive.google.com/file/d/1v4dlbRi4C_y1qLH-4d30w1chZOS7X_zE/view?usp=sharing,https://drive.google.com/file/d/1GSCG0vdB4bdrwukkvgdrW09SpFrgJYjN/view?usp=sharing,,,,
,,Sony ,DSR-2000A/ DSR-2000AP,DV; DVCAM; MiniDV,,HDV or DVCPro,NTSC,https://drive.google.com/file/d/1FGsVfi8nNcq0L5ti3wQNgBDtauVBU4QF/view?usp=sharing,,,,,
,,Sony ,DSR-1000,DVCAM,,HDV or DVCPro,NTSC/PAL,,,,,,
,,Sony ,DSR-45/ DSR-45P,DVCAM; MiniDVCAM; DVPro,large and mini sizes only (no HDV),HDV,NTSC,https://drive.google.com/file/d/1PrTT0m773zr5MOKSMvpotIeCTpddsG4K/view?usp=sharing,https://drive.google.com/file/d/1TslKI8cI_G9POZSBEnE_q5VkrC7KkoBG/view?usp=sharing,,,,
,,Sony ,HVR-M15U,HDV; MiniDV; DVCAM,,,NTSC/PAL,https://drive.google.com/file/d/1VhdLASHbCTBx5g-SqnkJEQB8Qb1dv2oV/view?usp=sharing,https://drive.google.com/file/d/1hmNn68Qk8Y9STG6svNUGZmKfln2yG4dI/view?usp=sharing,,,,
,,Sony ,HVR-M25U,HDV; MiniDV; DVCAM,,,NTSC/PAL,https://drive.google.com/file/d/1Q2tvOp3YlATwyvUDuyF5kIyWUwNO-qg-/view?usp=sharing,,,,,
,,Sony ,DSR-11,,,,NTSC,https://drive.google.com/file/d/1F9WiWOWM96PjRgyq6llyabWJZ3BYaY0N/view?usp=sharing,,,,,
,,Panasonic,AJ-D250,DVCPro,,,NTSC,https://drive.google.com/file/d/1hEhEHsxd-La2jAgcvNOkkDtyv116MDDx/view?usp=sharing,,,,,
